NDVI,NDWI,NDBI,ICE,Clase
0.7786835,-0.6681957,-0.30933094,0.3485019,2
0.75407666,-0.65764266,-0.28015438,0.3295561,2
0.75566345,-0.669873,-0.31955,0.33972213,2
0.7667494,-0.6674473,-0.26848388,0.3304304,2
0.77668715,-0.6744724,-0.17033744,0.30455032,2
0.78231657,-0.66132265,-0.2546349,0.33528423,2
0.82656986,-0.70630485,-0.3112542,0.36540022,2
0.8325751,-0.7206322,-0.31935802,0.3679685,2
0.8395522,-0.72453,-0.30986384,0.36782926,2
0.8480296,-0.7273097,-0.33438137,0.37886727,2
0.8424544,-0.71384495,-0.35467154,0.38485965,2
0.80528575,-0.70477813,-0.29508993,0.35021424,2
0.7847666,-0.7164461,-0.25090408,0.32436532,2
0.79473203,-0.7223796,-0.26869982,0.33350003,2
0.82836974,-0.7317175,-0.29056367,0.35501045,2
0.8022462,-0.70216304,-0.29760584,0.34997225,2
0.78717405,-0.6974565,-0.26399735,0.33329493,2
0.81966376,-0.7218607,-0.26286018,0.3443178,2
0.8325123,-0.73023254,-0.28165373,0.35470578,2
0.82890284,-0.7219568,-0.29945055,0.35989523,2
0.8172691,-0.7201235,-0.27915195,0.3483554,2
0.8137229,-0.725062,-0.24789086,0.3362163,2
0.818095,-0.71492904,-0.29019144,0.35311913,2
0.8293859,-0.7030244,-0.34111863,0.37642366,2
0.8445729,-0.7370968,-0.33539987,0.37548706,2
0.8599958,-0.7315068,-0.3568471,0.39075065,2
0.8591911,-0.7533804,-0.34885886,0.38357714,2
0.8486708,-0.71082515,-0.38332057,0.39716652,2
0.8592924,-0.71557224,-0.38818887,0.4029884,2
0.86942744,-0.7257655,-0.40623012,0.41142964,2
0.8602499,-0.75010884,-0.36548913,0.3897499,2
0.84142137,-0.73947895,-0.3236752,0.36991745,2
0.8538703,-0.7448933,-0.36845854,0.38849404,2
0.8396533,-0.7151515,-0.3178114,0.37213978,2
0.82771534,-0.7039106,-0.35105205,0.37839118,2
0.8169491,-0.68818897,-0.2876877,0.35714307,2
0.785061,-0.6885364,-0.13661733,0.29580843,2
0.8358459,-0.7062792,-0.27863115,0.36025643,2
0.84878486,-0.71882844,-0.37782994,0.39397573,2
0.8409786,-0.7228714,-0.32623464,0.3737854,2
0.8338714,-0.7010618,-0.25993145,0.3547028,2
0.84522,-0.69556123,-0.35311574,0.3894325,2
0.85144925,-0.7019151,-0.40192044,0.40591773,2
0.8563343,-0.6954274,-0.36469835,0.39849117,2
0.8492543,-0.6898711,-0.396014,0.40545714,2
0.8470563,-0.6993061,-0.36576298,0.39339584,2
0.82857144,-0.73484474,-0.26459494,0.34669524,2
0.81365114,-0.7419355,-0.26986536,0.3393981,2
0.80189675,-0.7290192,-0.27970067,0.33905473,2
0.7944117,-0.73181593,-0.2818165,0.33538762,2
0.7964912,-0.71723425,-0.25846097,0.33233705,2
0.79578245,-0.6937974,-0.24461539,0.33251637,2
0.8229167,-0.71568626,-0.36275145,0.37714654,2
0.8294145,-0.6877924,-0.36333963,0.38615066,2
0.7929577,-0.7191087,-0.1575358,0.29991788,2
0.8399241,-0.756569,-0.2539888,0.34484488,2
0.8226883,-0.70308787,-0.24749891,0.34497625,2
0.8476011,-0.7277326,-0.34474495,0.3816775,2
0.8433843,-0.7210084,-0.36306158,0.38640895,2
0.8575949,-0.72203887,-0.3791483,0.39813417,2
0.8690456,-0.72851807,-0.44847378,0.42336133,2
0.8576991,-0.7516689,-0.4407687,0.41074637,2
0.84556353,-0.7209302,-0.3077315,0.37091517,2
0.8370239,-0.7370184,-0.33076677,0.37033832,2
